Voedingsstofgroep,Component group,Nutrient-code,Voedingsstof,Component,Eenheid/Unit,Automatic_mapping
Verzadigde vetzuren,Saturated fatty acids,F18:0, C18:0, C18:0 ,g,
Verzadigde vetzuren,Saturated fatty acids,F19:0, C19:0, C19:0,g,
Verzadigde vetzuren,Saturated fatty acids,F20:0, C20:0, C20:0  ,g,http://purl.obolibrary.org/obo/CHEBI_28822
Verzadigde vetzuren,Saturated fatty acids,F21:0, C21:0, C21:0,g,
Verzadigde vetzuren,Saturated fatty acids,F22:0, C22:0, C22:0  ,g,
Verzadigde vetzuren,Saturated fatty acids,F23:0, C23:0, C23:0 ,g,
Verzadigde vetzuren,Saturated fatty acids,F24:0, C24:0, C24:0 ,g,
Verzadigde vetzuren,Saturated fatty acids,F25:0, C25:0, C25:0,g,
Verzadigde vetzuren,Saturated fatty acids,F26:0, C26:0, C26:0,g,
Verzadigde vetzuren,Saturated fatty acids,FASATXR, Verzuren verzadigd rest, Fatty acids saturated remainder,g,http://purl.obolibrary.org/obo/CHEBI_35366
Vetzuurclusters,Fatty acid clusters,FAMSCIS, Vetzuren enkelvoudig onverzadigd cis totaal, Fatty acids monounsaturated cis total,g,http://purl.obolibrary.org/obo/CHEBI_35366
Enkelvoudig onverzadigde vetzuren,Monounsaturated fatty acids,F10:1CIS, C10:1 cis  , C10:1 cis,g,
Enkelvoudig onverzadigde vetzuren,Monounsaturated fatty acids,F12:1CIS, C12:1 cis  , C12:1 cis,g,
Enkelvoudig onverzadigde vetzuren,Monounsaturated fatty acids,F14:1CIS, C14:1 cis  , C14:1 cis,g,http://purl.obolibrary.org/obo/CHEBI_28875
Enkelvoudig onverzadigde vetzuren,Monounsaturated fatty acids,F16:1CIS, C16:1 cis  , C16:1 cis,g,http://purl.obolibrary.org/obo/CHEBI_15756
Enkelvoudig onverzadigde vetzuren,Monounsaturated fatty acids,F18:1CIS, C18:1 cis  , C18:1 cis,g,
Enkelvoudig onverzadigde vetzuren,Monounsaturated fatty acids,F20:1CIS, C20:1 cis  , C20:1 cis,g,
Enkelvoudig onverzadigde vetzuren,Monounsaturated fatty acids,F22:1CIS, C22:1 cis  , C22:1 cis,g,
Enkelvoudig onverzadigde vetzuren,Monounsaturated fatty acids,F24:1CIS, C24:1 cis  , C24:1 cis,g,
Enkelvoudig onverzadigde vetzuren,Monounsaturated fatty acids,FAMSCXR, Vetzuren enkelvoudig onverzadigd cis rest, Fatty acids monounsaturated cis remainder,g,http://purl.obolibrary.org/obo/CHEBI_35366
Vetzuurclusters,Fatty acid clusters,FAPU, Vetzuren meervoudig onverzadigd totaal, Fatty acids total polyunsaturated total,g,http://purl.obolibrary.org/obo/CHEBI_35366
Meervoudig onverzadigde vetzuren cis,Polyunsaturated fatty acids,FAPUN3, Vetzuren meervoudig onverzadigd n-3 cis, Fatty acids n-3 polyunsaturated cis,g,http://purl.obolibrary.org/obo/CHEBI_35366
Vetzuren n-3 meerv onverz cis,fatty acids polyunsaturated total n-3,F18:3CN3, C18:3 n-3 cis (ALA), C18:3 n-3 cis (ALA),g,http://purl.obolibrary.org/obo/CHEBI_25048
Vetzuren n-3 meerv onverz cis,fatty acids polyunsaturated total n-3,F18:4CN3, C18:4 n-3 cis, C18:4 n-3 cis,g,
Vetzuren n-3 meerv onverz cis,fatty acids polyunsaturated total n-3,F20:3CN3, C20:3 n-3 cis, C20:3 n-3 cis,g,
Vetzuren n-3 meerv onverz cis,fatty acids polyunsaturated total n-3,F20:4CN3, C20:4 n-3 cis, C20:4 n-3 cis,g,
Vetzuren n-3 meerv onverz cis,fatty acids polyunsaturated total n-3,F20:5CN3, C20:5 n-3 cis (EPA), C20:5 n-3 cis (EPA),g,http://purl.obolibrary.org/obo/CHEBI_36006
Vetzuren n-3 meerv onverz cis,fatty acids polyunsaturated total n-3,F21:5CN3, C21:5 n-3 cis (HPA), C21:5 n-3 all-cis,g,
Vetzuren n-3 meerv onverz cis,fatty acids polyunsaturated total n-3,F22:2CN3, C22:2 n-3 cis, C22:2 n-3 cis,g,http://purl.obolibrary.org/obo/CHEBI_75115
Vetzuren n-3 meerv onverz cis,fatty acids polyunsaturated total n-3,F22:3CN3, C22:3 n-3 cis, C22:3 n-3 cis,g,
Vetzuren n-3 meerv onverz cis,fatty acids polyunsaturated total n-3,F22:5CN3, C22:5 n-3 cis (DPA), C22:5 n-3 cis (DPA),g,http://purl.obolibrary.org/obo/CHEBI_61204
